2026-07-10 09:26:31,279 | INFO | Market not suitable for trading
2026-07-10 09:26:31,279 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,280 | INFO | Market not suitable for trading
2026-07-10 09:26:31,280 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,280 | INFO | Market not suitable for trading
2026-07-10 09:26:31,281 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,281 | INFO | Market not suitable for trading
2026-07-10 09:26:31,281 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,281 | INFO | Market not suitable for trading
2026-07-10 09:26:31,282 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,282 | INFO | Market not suitable for trading
2026-07-10 09:26:31,282 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,283 | INFO | Market not suitable for trading
2026-07-10 09:26:31,283 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,283 | INFO | Market not suitable for trading
2026-07-10 09:26:31,284 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,284 | INFO | Market not suitable for trading
2026-07-10 09:26:31,284 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,284 | INFO | Market not suitable for trading
2026-07-10 09:26:31,285 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,285 | INFO | Market not suitable for trading
2026-07-10 09:26:31,285 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,285 | INFO | Market not suitable for trading
2026-07-10 09:26:31,286 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,286 | INFO | Market not suitable for trading
2026-07-10 09:26:31,287 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,287 | INFO | Market not suitable for trading
2026-07-10 09:26:31,287 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,287 | INFO | Market not suitable for trading
2026-07-10 09:26:31,288 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,288 | INFO | Market not suitable for trading
2026-07-10 09:26:31,288 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,289 | INFO | Market not suitable for trading
2026-07-10 09:26:31,289 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,289 | INFO | Market not suitable for trading
2026-07-10 09:26:31,290 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,290 | INFO | Market not suitable for trading
2026-07-10 09:26:31,290 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,290 | INFO | Market not suitable for trading
2026-07-10 09:26:31,291 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,291 | INFO | Market not suitable for trading
2026-07-10 09:26:31,291 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,292 | INFO | Market not suitable for trading
2026-07-10 09:26:31,292 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,292 | INFO | Market not suitable for trading
2026-07-10 09:26:31,293 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,293 | INFO | Market not suitable for trading
2026-07-10 09:26:31,293 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,293 | INFO | Market not suitable for trading
2026-07-10 09:26:31,294 | INFO | Market regime detected: RANGE
2026-07-10 09:26:31,294 | INFO | Market not suitable for trading
2026-07-10 09:26:31,294 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,294 | INFO | Signal: BUY Confidence: 70
2026-07-10 09:26:31,295 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 70, 'entry': np.float64(4337.95), 'lot': np.float64(0.05), 'stop_loss': np.float64(4327.97), 'take_profit': np.float64(4357.92), 'risk_percent': 1}
2026-07-10 09:26:31,295 | INFO | ORDER OPENED {'ticket': 'JQE-000021', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4338.0), 'lot': np.float64(0.05), 'stop_loss': np.float64(4327.97), 'take_profit': np.float64(4357.92), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 295216), 'status': 'OPEN'}
2026-07-10 09:26:31,295 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,295 | INFO | Signal: BUY Confidence: 90
